| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  5.65e+06    3.10 |    1.54    0.7     97     2 |    0.02   0.11   0.32   0.00
0  5.67e+06    3.10 |  -50.00    0.0     21     0 |   -2.19   0.01   0.29   0.00
0  5.70e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.33   0.00
0  5.73e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.37   0.00
0  5.76e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  5.79e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  5.82e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.23   0.00
0  5.85e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  5.88e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.38   0.00
0  5.91e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.36   0.00
0  5.93e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.32   0.00
0  5.96e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.49   0.00
0  5.99e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.33   0.00
0  6.02e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  6.05e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  6.08e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.35   0.00
0  6.11e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.29   0.00
0  6.13e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.32   0.00
0  6.16e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  6.19e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  6.22e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.36   0.00
0  6.25e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.32   0.00
0  6.28e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  6.31e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.27   0.00
0  6.34e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  6.36e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.33   0.00
0  6.39e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.26   0.00
0  6.42e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  6.45e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.27   0.00
0  6.48e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  6.51e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.33   0.00
0  6.53e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  6.56e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.38   0.00
0  6.59e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  6.62e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.32   0.00
0  6.65e+06    3.10 |  -50.00    0.0     28     0 |   -1.40   0.01   0.34   0.00
0  6.68e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.26   0.00
0  6.71e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  6.74e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  6.76e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  6.79e+06    3.10 |    1.76    1.1     96     4 |    0.02   0.25   0.22   0.00
0  6.82e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.45   0.00
0  6.85e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  6.88e+06    3.10 |  -50.00    0.0     22     0 |   -1.75   0.04   0.29   0.00
0  6.91e+06    3.10 |    1.72    1.0     96     4 |    0.02   0.18   0.26   0.00
0  6.94e+06    3.10 |  -50.00    0.0     22     0 |   -2.15   0.01   0.17   0.00
0  6.97e+06    3.10 |  -49.86    0.0     51     1 |   -1.05   0.01   0.11   0.00
0  7.00e+06    3.10 |  -47.31    0.2    101     1 |   -0.74   0.00   0.32   0.00
0  7.03e+06    3.10 |  -49.90    0.0     48     0 |   -1.06   0.00   0.02   0.00
0  7.06e+06    3.10 |  -49.47    0.2     68     2 |   -0.78   0.00   0.15   0.00
0  7.09e+06    3.10 |  -11.26   21.4     98     1 |   -0.36   0.09   0.13   0.00
0  7.11e+06    3.10 |    1.53    0.8     99     1 |    0.02   0.16   0.03   0.00
0  7.14e+06    3.10 |    2.18    1.1     96     2 |    0.02   0.18   0.14   0.00
0  7.18e+06    3.10 |    1.54    0.7     98     1 |    0.02   0.22   0.08   0.00
0  7.21e+06    3.10 |    1.57    0.8     98     2 |    0.02   0.20   0.05   0.00
0  7.24e+06    3.10 |    2.32    1.1     94     2 |    0.02   0.22   0.10   0.00
0  7.27e+06    3.10 |    1.76    0.9     94     3 |    0.02   0.19   0.14   0.00
0  7.30e+06    3.10 |    2.32    1.0     93     1 |    0.03   0.20   0.09   0.00
0  7.33e+06    3.10 |    1.75    1.0     96     3 |    0.02   0.20  -0.02   0.00
0  7.36e+06    3.10 |    2.08    0.5    100     4 |   -1.00   0.12   0.01   0.00
0  7.39e+06    3.10 |    1.31    0.1     94     1 |    0.02   0.10   0.09   0.00
0  7.42e+06    3.10 |    2.43    1.3     94     4 |    0.02   0.16   0.12   0.00
0  7.45e+06    3.10 |    2.62    1.0     96     3 |    0.02   0.20   0.13   0.00
0  7.48e+06    3.10 |    1.15    0.0     98     1 |    0.03   0.13   0.01   0.00
0  7.51e+06    3.10 |    1.52    0.6     98     2 |    0.02   0.07   0.10   0.00
0  7.54e+06    3.10 |    2.08    0.9     96     1 |    0.02   0.10  -0.09   0.00
0  7.57e+06    3.10 |    2.10    0.7     95     4 |    0.02   0.18   0.10   0.00
0  7.60e+06    3.10 |    1.61    0.6     96     3 |    0.02   0.12   0.02   0.00
0  7.63e+06    3.10 |    2.61    0.8     96     3 |    0.02   0.21   0.13   0.00
0  7.66e+06    3.10 |    3.03    0.4     96     4 |    0.02   0.18  -0.13   0.00
0  7.69e+06    3.10 |    1.29    0.1     94     2 |    0.02   0.20  -0.02   0.00
0  7.72e+06    3.10 |    2.67    0.8     95     2 |    0.02   0.16   0.06   0.00
0  7.74e+06    3.10 |    2.71    1.0     96     4 |    0.02   0.17  -0.02   0.00
0  7.77e+06    3.10 |    2.60    0.9     96     2 |    0.02   0.18   0.00   0.00
0  7.80e+06    3.10 |    2.31    1.0     94     1 |    0.02   0.16  -0.04   0.00
0  7.83e+06    3.10 |    1.76    1.1     96     5 |    0.02   0.06   0.08   0.00
0  7.86e+06    3.10 |    1.24    0.1     95     4 |    0.02   0.18  -0.01   0.00
0  7.89e+06    3.10 |    2.23    1.1     96     4 |    0.02   0.18  -0.10   0.00
0  7.92e+06    3.10 |    1.51    0.8     99     1 |    0.02   0.18   0.02   0.00
0  7.95e+06    3.10 |    1.98    0.9     98     1 |    0.02   0.19   0.06   0.00
0  7.97e+06    3.10 |    2.15    1.0     96     3 |    0.03   0.20   0.02   0.00
0  8.00e+06    3.10 |    2.08    0.9     96     2 |    0.02   0.16   0.11   0.00
0  8.03e+06    3.10 |    1.96    0.8     98     2 |    0.02   0.24  -0.09   0.00
0  8.06e+06    3.10 |    2.72    0.8     94     3 |    0.02   0.15  -0.02   0.00
0  8.09e+06    3.10 |    2.74    0.9     94     0 |    0.02   0.17  -0.01   0.00
0  8.12e+06    3.10 |    1.10    0.0     98     0 |    0.02   0.14   0.10   0.00
0  8.15e+06    3.10 |    2.90    1.1     94     4 |    0.02   0.23  -0.09   0.00
0  8.17e+06    3.10 |    1.72    0.8     94     2 |    0.02   0.13  -0.06   0.00
0  8.20e+06    3.10 |    1.10    0.1     98     2 |    0.02   0.15   0.13   0.00
0  8.23e+06    3.10 |    3.09    0.2     96     2 |    0.02   0.15  -0.06   0.00
0  8.26e+06    3.10 |    1.19    0.0     96     1 |    0.02   0.14   0.01   0.00
0  8.29e+06    3.10 |    1.67    1.0     97     3 |    0.02   0.16   0.23   0.00
0  8.32e+06    3.10 |    2.20    1.1     96     3 |    0.02   0.21  -0.07   0.00
0  8.35e+06    3.10 |    1.04    0.0    100     1 |    0.02   0.14   0.02   0.00
0  8.38e+06    3.10 |    1.13    0.1     98     3 |    0.02   0.19   0.08   0.00
0  8.41e+06    3.10 |    1.59    0.8     97     3 |    0.02   0.18  -0.20   0.00
0  8.43e+06    3.10 |    2.11    1.1     97     3 |    0.02   0.19  -0.09   0.00
0  8.46e+06    3.10 |    2.09    0.8     95     3 |    0.02   0.19  -0.17   0.00
0  8.49e+06    3.10 |    2.01    0.7     96     3 |    0.02   0.16  -0.03   0.00
0  8.52e+06    3.10 |    2.30    1.0     93     2 |    0.02   0.22  -0.08   0.00
0  8.54e+06    3.10 |    2.27    1.1     94     3 |    0.02   0.15  -0.01   0.00
0  8.57e+06    3.10 |    2.32    1.1     94     3 |    0.02   0.18   0.00   0.00
0  8.60e+06    3.10 |    1.51    0.6     98     4 |    0.02   0.18  -0.03   0.00
0  8.62e+06    3.10 |    1.17    0.1     96     3 |    0.02   0.20  -0.05   0.00
0  8.65e+06    3.10 |    1.59    0.7     97     3 |    0.02   0.13  -0.07   0.00
0  8.68e+06    3.10 |    2.87    0.1     97     1 |    0.02   0.17  -0.02   0.00
0  8.71e+06    3.10 |    2.29    1.1     94     2 |    0.02   0.21  -0.07   0.00
0  8.73e+06    3.10 |    2.17    1.0     96     3 |    0.02   0.14   0.08   0.00
0  8.76e+06    3.10 |    2.05    0.9     97     2 |    0.02   0.20  -0.02   0.00
0  8.79e+06    3.10 |    2.16    0.9     94     3 |    0.02   0.24  -0.04   0.00
0  8.82e+06    3.10 |    2.25    1.2     96     4 |    0.02   0.11   0.07   0.00
0  8.85e+06    3.10 |    1.66    0.9     97     3 |    0.02   0.15  -0.02   0.00
